Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.121 101/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.121 101/101 | Building OptiX acceleration structure
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.001 2/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.005 4/101 | Building OptiX acceleration structure
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.009 6/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.007 5/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.025 17/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.029 21/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.030 22/101 | Building OptiX acceleration structure
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.032 24/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.033 25/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.034 26/101 | Building OptiX acceleration structure
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cylinder 27/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cylinder 27/101 | Building OptiX acceleration structure
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.035 28/101 | Building BVH
Fra:1 Mem:13.50M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.035 28/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.05M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH brazier_light 100/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.05M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH brazier_light 100/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.05M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cylinder.002 99/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.05M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cylinder.002 99/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.037 29/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.037 29/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.039 30/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.039 30/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.041 31/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.041 31/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.043 32/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.043 32/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.045 33/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.045 33/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.047 34/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.047 34/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.049 35/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.049 35/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.051 36/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.051 36/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.053 37/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.053 37/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.055 38/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.055 38/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.057 39/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.057 39/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.059 40/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.059 40/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.120 98/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.07M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.120 98/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.119 97/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.119 97/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.061 41/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.061 41/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.063 42/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.063 42/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.065 43/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.065 43/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.067 44/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.067 44/101 | Building OptiX acceleration structure
