Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:18.38M (Peak 18.38M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_corner_star6.wall_corner
Fra:1 Mem:18.39M (Peak 18.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_corner_star6.wall_corner.001
Fra:1 Mem:18.39M (Peak 18.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_corner_star6.wall_corner.002
Fra:1 Mem:18.39M (Peak 18.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | column_star6.column
Fra:1 Mem:18.39M (Peak 18.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | asset_0001_0
Fra:1 Mem:18.39M (Peak 18.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | asset_0001_0.003
Fra:1 Mem:18.42M (Peak 18.42M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:14.96M (Peak 18.42M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:14.96M (Peak 18.42M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:14.96M (Peak 18.42M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:14.96M (Peak 18.42M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:15.04M (Peak 43.06M) | Time:00:00.16 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:15.04M (Peak 43.06M) | Time:00:00.16 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Background
Fra:1 Mem:15.04M (Peak 43.06M) | Time:00:00.16 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:15.04M (Peak 43.06M) | Time:00:00.16 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:15.04M (Peak 43.06M) | Time:00:00.16 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:15.04M (Peak 43.06M) | Time:00:00.16 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:15.07M (Peak 43.06M) | Time:00:00.16 | Mem:0.03M, Peak:0.03M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:15.07M (Peak 43.06M) | Time:00:00.16 | Mem:0.03M, Peak:0.03M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:15.07M (Peak 43.06M) | Time:00:00.16 | Mem:0.03M, Peak:0.03M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:15.07M (Peak 43.06M) | Time:00:00.16 | Mem:0.03M, Peak:0.03M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:15.07M (Peak 43.06M) | Time:00:00.16 | Mem:0.03M, Peak:0.03M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:15.10M (Peak 43.06M) | Time:00:00.16 | Mem:0.04M, Peak:0.04M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:15.08M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH light 107/106 | Building BVH
Fra:1 Mem:15.08M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.006 7/106 | Building BVH
Fra:1 Mem:15.08M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.014 15/106 | Building BVH
Fra:1 Mem:15.08M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.017 18/106 | Building OptiX acceleration structure
Fra:1 Mem:15.08M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.018 19/106 | Building BVH
Fra:1 Mem:15.08M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.020 21/106 | Building BVH
Fra:1 Mem:15.08M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.021 22/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.022 23/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.022 23/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.023 24/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.05M, Peak:0.05M | Scene, ViewLayer | Updating Geometry BVH Cube.027 28/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH girih.star_mesh 106/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH girih.star_mesh 106/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.028 29/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Geometry BVH Cube.028 29/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.029 30/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.029 30/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.030 31/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.030 31/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.031 32/106 | Building BVH
