Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:64.80M (Peak 64.80M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.184
Fra:1 Mem:64.81M (Peak 64.81M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.186
Fra:1 Mem:64.81M (Peak 64.81M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.187
Fra:1 Mem:64.81M (Peak 64.81M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.189
Fra:1 Mem:64.81M (Peak 64.81M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.190
Fra:1 Mem:64.81M (Peak 64.81M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.193
Fra:1 Mem:64.82M (Peak 64.82M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.195
Fra:1 Mem:64.82M (Peak 64.82M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.196
Fra:1 Mem:64.82M (Peak 64.82M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.197
Fra:1 Mem:64.82M (Peak 64.82M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.198
Fra:1 Mem:64.83M (Peak 64.83M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.199
Fra:1 Mem:64.83M (Peak 64.83M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.200
